id,parent_id,generated_from,type,text,rationale,verification,status
REQ-AD-001,REQ-PL-016,FUN-AD-01,functional,The system shall refuse what states an agent when it does not state each part that a definition must state.,"OPN-009. DEC-037 divides what states an agent into three parts, and a definition that omits one is not usable. FUN-WC-01 and FUN-ST-01 refuse at admission for the same reason. MET-002 keeps the content of an identity outside this repository, so the system refuses on the parts and not on what they say.",Test,draft
REQ-AD-002,REQ-PL-016,FUN-AD-01,functional,The system shall refuse what states an agent when it names a position that is not declared.,"DEC-027 declares a position one time, and an agent that names a position which does not exist holds nothing that a boundary can refuse against. DEC-034 refuses at admission what a lookup settles, and this is a lookup.",Test,draft
REQ-AD-003,REQ-PL-016,FUN-AD-01,functional,The system shall refuse what states an agent when the caller that gives it may not confer the position that it names.,"DEC-039 states the positions that a holder may confer. Without this refusal, a caller that may make an agent reaches an authority that its own position refuses, by making an agent that holds it, which is RSK-PL-007.",Test,draft
REQ-AD-004,REQ-PL-016,FUN-AD-02,functional,The system shall make an agent that holds a declared position and has a place in the declared hierarchy.,"REQ-PL-016 makes agents. DEC-027 gives the agent one position and DEC-040 gives it a place, and an agent with neither can be neither refused against nor directed. What the caller must give is refused by REQ-AD-001 to REQ-AD-003 and is not restated here.",Test,draft
REQ-AD-005,REQ-PL-016,FUN-AD-02,functional,The system shall accept a change to the identity of an agent only from that agent and from the parent of that agent.,"DEC-040 lets a parent change the identity of its child. DEC-037 makes the identity what an agent is for, and the agent is the holder of it. The word only makes this the restriction as well as the act: an earlier text accepted the change without condition and contradicted REQ-AD-018, which refuses the same change when the position of the caller does not admit it. Both gates apply, and the position is not changed by either caller, because what an agent admits is changed by conferral and REQ-AD-020 refuses that.",Test,draft
REQ-AD-006,REQ-PL-016,FUN-AD-02,functional,The system shall not give an agent that is retired as the holder of a position.,"DEC-046 ends the holding of a position when an agent is retired. REQ-WC-030 then refuses new work that names that agent, with no second mechanism, and REQ-WC-037 gives the state for the units that are already held.",Test,draft
REQ-AD-007,REQ-PL-016,FUN-AD-02,functional,The system shall give what states an agent after the platform stops and starts.,An agent that the platform forgets when it restarts is not under change control. FUN-WC-02 states the same for a unit of work.,Test,draft
REQ-AD-008,REQ-PL-016,FUN-AD-03,functional,The system shall give the identity of an agent and the identity of the position that the agent holds.,"DEC-038 holds an identity at two levels, and a reader that gets one of them does not know how the agent works. MET-002 keeps the content outside this repository and not outside the platform, because DEC-024 gives the data that states what an agent is to this system.",Test,draft
REQ-AD-009,REQ-PL-016,FUN-AD-03,functional,The system shall give each earlier configuration of an agent with the time of the change and the caller that made it.,"REQ-PL-016 keeps the history of the configuration of each agent. REQ-AD-005 lets an agent change its own identity, so a change with no author and no time cannot be reviewed.",Test,draft
REQ-AD-010,REQ-PL-016,FUN-AD-03,functional,The system shall give what an agent was after that agent is retired.,"DEC-046 retires an agent and does not remove what it was. DEC-022 makes the origin a part of what identifies an assertion, and an assertion of a retired agent stays in life state. DEC-047 does not require that an origin resolves, so this requirement is what makes it resolve while the record is held.",Test,draft
REQ-AD-011,REQ-PL-005,FUN-AD-04,functional,"The system shall accept the declaration of a position that states the part of each body that the position admits, the acts that it admits, and the positions that its holder may confer.","DEC-029 states the first two and DEC-039 adds the third. DEC-019 declares the position in one place and each boundary refuses against it, so a declaration that omits a part leaves a boundary with nothing to check. How a part of a body is written is stated by DEC-045 and is below this level, in the same way that REQ-ST-029 declares that a kind states a form and does not state how a form is written.",Test,draft
REQ-AD-014,REQ-PL-005,FUN-AD-04,interface,The system shall give to a caller the position of an agent and what that position admits.,"INT-PL-09. DEC-019 declares the position in one place and refuses in many, so each boundary reads the declaration from this system. REQ-ST-017, REQ-ST-018, REQ-WC-014 and REQ-WC-036 are the refusals that this requirement supplies.",Test,draft
REQ-AD-015,REQ-PL-005,FUN-AD-04,performance,The system shall give a position within TBD.,"Every read and every write at every boundary waits for this answer (DEC-019), so this is the one part of the platform that is on the path of all of them. The value depends on the host and on what a boundary needs, and neither is known. REQ-ST-028 carries the same TBD for a query over life state.",Test,draft
REQ-AD-016,REQ-PL-005,FUN-AD-05,functional,The system shall give the place of each agent in the declared hierarchy.,"REQ-PL-005 directs work in a declared hierarchy, and DEC-003 arbitrates in it. A tree that a caller cannot read directs nothing.",Test,draft
REQ-AD-017,REQ-PL-005,FUN-AD-05,functional,"The system shall refuse a change of place from a caller that is not the first common relative of the agent, of the present parent of that agent and of the new parent of that agent.","DEC-040 admits a change to the hierarchy to the first common relative only. This refusal is by the place of the caller and not by its position, which is why it is here and not in FUN-AD-06.",Test,draft
REQ-AD-018,REQ-PL-005,FUN-AD-06,functional,The system shall refuse a change to what states an agent from a caller whose position does not admit the act.,"DEC-019 makes each boundary refuse what a position does not admit, and a change to a definition arrives at this one. REQ-ST-032 and REQ-WC-023 state the same refusal for the declaration of a kind and of a resource.",Test,draft
REQ-AD-019,REQ-PL-005,FUN-AD-06,functional,The system shall refuse the declaration of a position from a caller whose position does not admit the act.,"DEC-039 makes the declaration of a position an act that this boundary refuses. Which callers hold the act is a declaration and not a property of the platform, so this requirement states the refusal and not who is refused.",Test,draft
REQ-AD-020,REQ-PL-005,FUN-AD-06,functional,The system shall refuse the conferral of a position that the position of the caller does not state that it may confer.,DEC-039 states the positions that a holder may confer. REQ-AD-003 refuses the same case when an agent is made; this requirement refuses it when a position is conferred to an agent that exists.,Test,draft
REQ-AD-021,REQ-PL-027,FUN-AD-07,functional,The system shall give to an agent the rules for work with the platform.,REQ-PL-027. DEC-037 makes the rules one of the three parts and puts them in this system.,Demonstration,draft
REQ-AD-023,REQ-PL-027,FUN-AD-07,functional,The system shall give one set of rules to every agent.,"DEC-019 states the failure that a copy for each reader drifts. DEC-037 makes the rules one statement for every agent, so a set of rules for each agent, or for each position, is the same failure.",Test,draft
REQ-AD-024,REQ-PL-011,FUN-AD-08,functional,The system shall give the set of agents that the platform holds and the position that each agent holds.,"DEC-001 attaches an external client to an agent, and a client cannot attach to an agent that it cannot find. DEC-042 states the part of the work body over positions, so a caller that raises work needs the position of an agent and not its name alone.",Test,draft
REQ-AD-025,REQ-PL-024,FUN-AD-08,functional,The system shall give only the agents that the position of the caller admits.,"REQ-PL-024 serves to an agent only the part of what the platform holds that its position admits, and DEC-024 puts the data that states what an agent is in this system. A roster that names every agent tells each agent what every other agent is for.",Test,draft
REQ-AD-026,REQ-PL-021,FUN-AD-09,functional,The system shall give what states an agent in a form that a runtime outside the platform can use when the platform does not run.,"REQ-PL-021 keeps agents usable when the platform does not run. DEC-043 states what the form carries: the rules for work with the platform, the identity of the position, the identity of the agent, and what the position admits, which the form states and does not enforce. A form that names a store, a path or a tool of the platform is not usable without it, and how the form avoids that is below this level (MET-005). REQ-ST-021 states the same property of the copy away from the host.",Test,draft
REQ-AD-028,REQ-PL-005,FUN-AD-10,interface,The system shall give the position that receives a unit of work that names no agent.,"OPN-030. REQ-WC-012 sends such a unit to one declared agent and nothing declared one. DEC-030 makes the choice of an agent a judgement, so this system gives the declaration and makes no choice. DEC-042 states it over a position and not over an agent, so the agent that receives the work can change with no change here.",Test,draft
